,link,contry,battingStyle,bowlingStyle,playingRole
Maheesh Theekshana,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler
Dushmantha Chameera,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,Sri Lanka,Right hand Bat,Right arm Fast,Bowler
Pramod Madushan,https://www.espncricinfo.com/cricketers/pramod-madushan-826689,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
Chamika Karunaratne,https://www.espncricinfo.com/cricketers/chamika-karunaratne-623695,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Wanindu Hasaranga de Silva,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-de-silva-784379,Sri Lanka,Right hand Bat,Legbreak,Allrounder
Gerhard Erasmus,https://www.espncricinfo.com/cricketers/gerhard-erasmus-519070,Namibia,Right hand Bat,Right arm Offbreak,Allrounder
David Wiese,https://www.espncricinfo.com/cricketers/david-wiese-221140,Namibia,Right hand Bat,Right arm Medium fast,Allrounder
Bernard Scholtz,https://www.espncricinfo.com/cricketers/bernard-scholtz-330223,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler
Ben Shikongo,https://www.espncricinfo.com/cricketers/ben-shikongo-1069820,Namibia,Right hand Bat,Right arm Medium fast,Bowler
JJ Smit,https://www.espncricinfo.com/cricketers/jj-smit-553821,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder
Jan Frylinck,https://www.espncricinfo.com/cricketers/jan-frylinck-482478,Namibia,Left hand Bat,Left arm Fast medium,Allrounder
Michael van Lingen,https://www.espncricinfo.com/cricketers/michael-van-lingen-833777,Namibia,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowling Allrounder
Divan la Cock,https://www.espncricinfo.com/cricketers/divan-la-cock-1178065,Namibia,Right hand Bat,Legbreak,Opening Batter
Jan Nicol Loftie-Eaton,https://www.espncricinfo.com/cricketers/jan-nicol-loftie-eaton-1071473,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batter
Stephan Baard,https://www.espncricinfo.com/cricketers/stephan-baard-437927,Namibia,Right hand Bat,Right arm Medium fast,Batter
Pathum Nissanka,https://www.espncricinfo.com/cricketers/pathum-nissanka-1028655,Sri Lanka,Right hand Bat,,Top order Batter
Kusal Mendis†,https://www.espncricinfo.com/cricketers/kusal-mendis-629074,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter
Dhananjaya de Silva,https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder
Danushka Gunathilaka,https://www.espncricinfo.com/cricketers/danushka-gunathilaka-345821,Sri Lanka,Left hand Bat,Right arm Offbreak,Allrounder
Bhanuka Rajapaksa,https://www.espncricinfo.com/cricketers/bhanuka-rajapaksa-342619,Sri Lanka,Left hand Bat,Right arm Medium,Top order Batter
Dasun Shanaka(c),https://www.espncricinfo.com/cricketers/dasun-shanaka-437316,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder
Fred Klaassen,https://www.espncricinfo.com/cricketers/fred-klaassen-1104703,Netherlands,Right hand Bat,Left arm Fast medium,Bowler
Tim Pringle,https://www.espncricinfo.com/cricketers/tim-pringle-1193548,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder
Logan van Beek,https://www.espncricinfo.com/cricketers/logan-van-beek-440522,Netherlands,Right hand Bat,Right arm Medium fast,Bowler
Bas de Leede,https://www.espncricinfo.com/cricketers/bas-de-leede-1036191,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder
Paul van Meekeren,https://www.espncricinfo.com/cricketers/paul-van-meekeren-348109,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
Roelof van der Merwe,https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850,Netherlands,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Junaid Siddique,https://www.espncricinfo.com/cricketers/junaid-siddique-1203754,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler
Basil Hameed,https://www.espncricinfo.com/cricketers/basil-hameed-1209110,United Arab Emirates,Right hand Bat,Right arm Offbreak,Middle order Batter
Aayan Afzal Khan,https://www.espncricinfo.com/cricketers/aayan-afzal-khan-1241265,United Arab Emirates,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Karthik Meiyappan,https://www.espncricinfo.com/cricketers/karthik-meiyappan-1058987,United Arab Emirates,Right hand Bat,Legbreak,Bowler
Zahoor Khan,https://www.espncricinfo.com/cricketers/zahoor-khan-384525,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler
Zawar Farid,https://www.espncricinfo.com/cricketers/zawar-farid-1196500,United Arab Emirates,Right hand Bat,Right arm Medium,Bowler
Kashif Daud,https://www.espncricinfo.com/cricketers/kashif-daud-229225,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Chirag Suri,https://www.espncricinfo.com/cricketers/chirag-suri-534734,United Arab Emirates,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter
Muhammad Waseem,https://www.espncricinfo.com/cricketers/muhammad-waseem-1241277,United Arab Emirates,Right hand Bat,Right arm Medium,Opening Batter
Vriitya Aravind†,https://www.espncricinfo.com/cricketers/vriitya-aravind-1178586,United Arab Emirates,Right hand Bat,,Wicketkeeper
Chundangapoyil Rizwan(c),https://www.espncricinfo.com/cricketers/chundangapoyil-rizwan-474760,United Arab Emirates,Right hand Bat,Legbreak Googly,Middle order Batter
Vikramjit Singh,https://www.espncricinfo.com/cricketers/vikramjit-singh-1153767,Netherlands,Left hand Bat,Right arm Medium fast,Opening Batter
Max O'Dowd,https://www.espncricinfo.com/cricketers/max-o-dowd-643197,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter
Colin Ackermann,https://www.espncricinfo.com/cricketers/colin-ackermann-379774,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder
Tom Cooper,https://www.espncricinfo.com/cricketers/tom-cooper-219885,Netherlands,Right hand Bat,Right arm Offbreak,Middle order Batter
Scott Edwards(c)†,https://www.espncricinfo.com/cricketers/scott-edwards-1127317,Netherlands,Right hand Bat,,Wicketkeeper Batter
Kyle Mayers,https://www.espncricinfo.com/cricketers/kyle-mayers-348056,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder
Akeal Hosein,https://www.espncricinfo.com/cricketers/akeal-hosein-530812,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler
Alzarri Joseph,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,West Indies,Right hand Bat,Right arm Fast,Bowler
Obed McCoy,https://www.espncricinfo.com/cricketers/obed-mccoy-906783,West Indies,Left hand Bat,Left arm Fast medium,Bowler
Jason Holder,https://www.espncricinfo.com/cricketers/jason-holder-391485,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Odean Smith,https://www.espncricinfo.com/cricketers/odean-smith-820691,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Mark Watt,https://www.espncricinfo.com/cricketers/mark-watt-659081,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler
Brad Wheal,https://www.espncricinfo.com/cricketers/brad-wheal-807535,Scotland,Right hand Bat,Right arm Fast medium,Bowler
Josh Davey,https://www.espncricinfo.com/cricketers/josh-davey-407265,Scotland,Right hand Bat,Right arm Medium fast,Bowler
Safyaan Sharif,https://www.espncricinfo.com/cricketers/safyaan-sharif-414970,Scotland,Right hand Bat,Right arm Medium fast,Bowler
Michael Leask,https://www.espncricinfo.com/cricketers/michael-leask-414966,Scotland,Right hand Bat,Right arm Offbreak,Allrounder
George Munsey,https://www.espncricinfo.com/cricketers/george-munsey-671805,Scotland,Left hand Bat,Right arm Medium fast,Opening Batter
Michael Jones,https://www.espncricinfo.com/cricketers/michael-jones-1093091,Scotland,Right hand Bat,Right arm Offbreak,Top order Batter
Matthew Cross†,https://www.espncricinfo.com/cricketers/matthew-cross-417268,Scotland,Right hand Bat,,Wicketkeeper Batter
Richie Berrington(c),https://www.espncricinfo.com/cricketers/richie-berrington-25490,Scotland,Right hand Bat,Right arm Medium fast,Top order Batter
Calum MacLeod,https://www.espncricinfo.com/cricketers/calum-macleod-232435,Scotland,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter
Chris Greaves,https://www.espncricinfo.com/cricketers/chris-greaves-873199,Scotland,Right hand Bat,Legbreak,Bowler
Evin Lewis,https://www.espncricinfo.com/cricketers/evin-lewis-431901,West Indies,Left hand Bat,,Opening Batter
Brandon King,https://www.espncricinfo.com/cricketers/brandon-king-670035,West Indies,Right hand Bat,,Top order Batter
Nicholas Pooran(c)†,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
