name,contry,battingStyle,bowlingStyle,playingRole,indivisual_runs,total_balls,innings,dissmissals,fours,sixes,bat_pos,batting_Avg,str_rate,boundry%,avg_balls,innings_bowled,bow_economy,balls_bowled,wickets,Bow_strike_rate,runs_consided,bow_avg,dots,dot_ball_%,maidens,avg_ball_faced
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler,11.0,14.0,2.0,1.0,0.0,1.0,10.0,11.0,78.6,54.5,5.0,8.0,6.67375,181.0,9.0,20.1,202.0,22.4,71.0,39.2,0.0,7.0
Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,Bowler,9.0,16.0,2.0,1.0,0.0,0.0,10.0,9.0,56.2,0.0,8.0,2.0,6.83,47.0,4.0,11.8,54.0,13.5,22.0,46.8,0.0,8.0
Pramod Madushan,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,1.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,100.0,0.0,0.0,3.0,7.303333333333334,60.0,3.0,20.0,75.0,25.0,25.0,41.7,0.0,1.0
Chamika Karunaratne,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowling Allrounder,32.0,38.0,6.0,4.0,3.0,0.0,8.0,8.0,84.2,37.5,6.0,6.0,7.79,108.0,3.0,36.0,144.0,48.0,36.0,33.3,0.0,6.3
Wanindu Hasaranga de Silva,Sri Lanka,Right hand Bat,Legbreak,Allrounder,25.0,34.0,6.0,5.0,2.0,0.0,7.0,5.0,73.5,32.0,6.0,8.0,6.77,186.0,15.0,12.4,199.0,13.3,74.0,39.8,1.0,5.7
Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder,52.0,60.0,3.0,3.0,2.0,0.0,5.0,17.3,86.7,15.4,20.0,2.0,6.165,24.0,0.0,inf,21.0,inf,9.0,37.5,0.0,20.0
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder,66.0,42.0,3.0,2.0,4.0,3.0,7.0,33.0,157.1,51.5,14.0,3.0,6.516666666666667,63.0,3.0,21.0,65.0,21.7,29.0,46.0,0.0,14.0
Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler,1.0,1.0,1.0,0.0,0.0,0.0,10.0,inf,100.0,0.0,1.0,3.0,5.083333333333333,72.0,4.0,18.0,61.0,15.2,31.0,43.1,0.0,1.0
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler,,,,,,,,,,,,3.0,11.11,30.0,3.0,10.0,48.0,16.0,8.0,26.7,1.0,
JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder,39.0,23.0,3.0,1.0,3.0,2.0,7.0,39.0,169.6,61.5,8.0,3.0,7.026666666666666,66.0,3.0,22.0,79.0,26.3,27.0,40.9,0.0,7.7
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder,101.0,93.0,3.0,3.0,6.0,1.0,5.0,33.7,108.6,29.7,31.0,3.0,6.833333333333333,66.0,3.0,22.0,72.0,24.0,24.0,36.4,1.0,31.0
Michael van Lingen,Namibia,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowling Allrounder,33.0,33.0,3.0,3.0,4.0,0.0,1.0,11.0,100.0,48.5,11.0,,,,,,,,,,,11.0
Divan la Cock,Namibia,Right hand Bat,Legbreak,Opening Batter,9.0,11.0,2.0,2.0,1.0,0.0,2.0,4.5,81.8,44.4,6.0,,,,,,,,,,,5.5
Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batter,21.0,20.0,3.0,3.0,1.0,2.0,3.0,7.0,105.0,76.2,7.0,1.0,8.0,6.0,0.0,inf,8.0,inf,2.0,33.3,0.0,6.7
Stephan Baard,Namibia,Right hand Bat,Right arm Medium fast,Batter,49.0,52.0,3.0,3.0,3.0,0.0,3.0,16.3,94.2,24.5,17.0,,,,,,,,,,,17.3
Pathum Nissanka,Sri Lanka,Right hand Bat,,Top order Batter,214.0,196.0,7.0,7.0,13.0,8.0,1.0,30.6,109.2,46.7,28.0,,,,,,,,,,,28.0
Kusal Mendis,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter,223.0,156.0,8.0,7.0,17.0,10.0,2.0,31.9,142.9,57.4,20.0,,,,,,,,,,,19.5
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder,177.0,137.0,8.0,7.0,15.0,4.0,3.0,25.3,129.2,47.5,17.0,6.0,6.966666666666666,73.0,6.0,12.2,83.0,13.8,20.0,27.4,0.0,17.1
Danushka Gunathilaka,Sri Lanka,Left hand Bat,Right arm Offbreak,Allrounder,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,,1.0,,,,,,,,,,,1.0
Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,Right arm Medium,Top order Batter,125.0,105.0,7.0,7.0,14.0,2.0,5.0,17.9,119.0,54.4,15.0,,,,,,,,,,,15.0
Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,78.0,74.0,6.0,6.0,6.0,3.0,6.0,13.0,105.4,53.8,11.0,3.0,7.666666666666667,19.0,1.0,19.0,24.0,24.0,8.0,42.1,0.0,12.3
Fred Klaassen,Netherlands,Right hand Bat,Left arm Fast medium,Bowler,10.0,11.0,4.0,3.0,0.0,0.0,10.0,3.3,90.9,0.0,3.0,8.0,6.395,180.0,8.0,22.5,191.0,23.9,93.0,51.7,0.0,2.8
Tim Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,51.0,58.0,6.0,5.0,1.0,1.0,7.0,10.2,87.9,19.6,10.0,6.0,6.68,102.0,3.0,34.0,102.0,34.0,38.0,37.3,0.0,9.7
Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,15.0,23.0,4.0,2.0,0.0,0.0,8.0,7.5,65.2,0.0,6.0,6.0,7.364999999999999,98.0,3.0,32.7,125.0,41.7,32.0,32.7,0.0,5.8
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder,93.0,117.0,8.0,6.0,7.0,1.0,4.0,15.5,79.5,36.6,15.0,7.0,7.878571428571428,132.0,13.0,10.2,169.0,13.0,50.0,37.9,0.0,14.6
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,45.0,27.0,3.0,3.0,6.0,1.0,11.0,15.0,166.7,66.7,7.0,8.0,6.53125,186.0,11.0,16.9,198.0,18.0,85.0,45.7,0.0,9.0
Roelof van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,5.0,12.0,4.0,2.0,0.0,0.0,8.0,2.5,41.7,0.0,3.0,6.0,7.026666666666666,66.0,2.0,33.0,75.0,37.5,23.0,34.8,0.0,3.0
Junaid Siddique,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler,18.0,17.0,2.0,1.0,1.0,1.0,10.0,18.0,105.9,55.6,8.0,3.0,7.916666666666667,72.0,4.0,18.0,95.0,23.8,26.0,36.1,0.0,8.5
Basil Hameed,United Arab Emirates,Right hand Bat,Right arm Offbreak,Middle order Batter,31.0,24.0,3.0,2.0,3.0,2.0,6.0,15.5,129.2,77.4,8.0,3.0,8.553333333333333,30.0,3.0,10.0,37.0,12.3,15.0,50.0,0.0,8.0
Aayan Afzal Khan,United Arab Emirates,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,24.0,28.0,2.0,2.0,1.0,0.0,8.0,12.0,85.7,16.7,14.0,3.0,4.61,48.0,2.0,24.0,38.0,19.0,20.0,41.7,0.0,14.0
Karthik Meiyappan,United Arab Emirates,Right hand Bat,Legbreak,Bowler,4.0,8.0,1.0,1.0,0.0,0.0,9.0,4.0,50.0,0.0,4.0,3.0,6.25,72.0,5.0,14.4,75.0,15.0,31.0,43.1,0.0,8.0
Zahoor Khan,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler,1.0,1.0,1.0,0.0,0.0,0.0,11.0,inf,100.0,0.0,1.0,3.0,4.75,72.0,5.0,14.4,57.0,11.4,39.0,54.2,0.0,1.0
Zawar Farid,United Arab Emirates,Right hand Bat,Right arm Medium,Bowler,2.0,4.0,1.0,1.0,0.0,0.0,5.0,2.0,50.0,0.0,4.0,1.0,8.47,17.0,0.0,inf,24.0,inf,2.0,11.8,0.0,4.0
Kashif Daud,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowling Allrounder,15.0,18.0,2.0,2.0,0.0,1.0,6.0,7.5,83.3,40.0,9.0,2.0,9.5,12.0,0.0,inf,19.0,inf,1.0,8.3,0.0,9.0
Chirag Suri,United Arab Emirates,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter,26.0,39.0,2.0,2.0,4.0,0.0,2.0,13.0,66.7,61.5,20.0,,,,,,,,,,,19.5
Muhammad Waseem,United Arab Emirates,Right hand Bat,Right arm Medium,Opening Batter,93.0,92.0,3.0,3.0,2.0,5.0,1.0,31.0,101.1,40.9,31.0,1.0,8.0,12.0,1.0,12.0,16.0,16.0,3.0,25.0,0.0,30.7
Vriitya Aravind,United Arab Emirates,Right hand Bat,,Wicketkeeper,48.0,71.0,3.0,3.0,3.0,0.0,4.0,16.0,67.6,25.0,24.0,,,,,,,,,,,23.7
Chundangapoyil Rizwan,United Arab Emirates,Right hand Bat,Legbreak Googly,Middle order Batter,45.0,34.0,3.0,2.0,3.0,1.0,5.0,22.5,132.4,40.0,11.0,,,,,,,,,,,11.3
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium fast,Opening Batter,57.0,62.0,5.0,5.0,5.0,2.0,1.0,11.4,91.9,56.1,12.0,,,,,,,,,,,12.4
Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter,242.0,215.0,8.0,7.0,22.0,8.0,2.0,34.6,112.6,56.2,27.0,,,,,,,,,,,26.9
Colin Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder,165.0,149.0,8.0,7.0,13.0,4.0,4.0,23.6,110.7,46.1,19.0,3.0,4.996666666666667,42.0,1.0,42.0,37.0,37.0,16.0,38.1,0.0,18.6
Tom Cooper,Netherlands,Right hand Bat,Right arm Offbreak,Middle order Batter,107.0,103.0,7.0,8.0,7.0,3.0,4.0,13.4,103.9,43.0,13.0,,,,,,,,,,,14.7
Scott Edwards,Netherlands,Right hand Bat,,Wicketkeeper Batter,91.0,104.0,8.0,6.0,8.0,0.0,6.0,15.2,87.5,35.2,13.0,,,,,,,,,,,13.0
Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder,34.0,30.0,3.0,3.0,5.0,1.0,1.0,11.3,113.3,76.5,10.0,2.0,14.5,18.0,0.0,inf,41.0,inf,8.0,44.4,0.0,10.0
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,24.0,19.0,2.0,1.0,2.0,0.0,8.0,24.0,126.3,33.3,10.0,3.0,7.833333333333333,72.0,2.0,36.0,94.0,47.0,25.0,34.7,0.0,9.5
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler,0.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,,1.0,3.0,6.916666666666667,72.0,6.0,12.0,83.0,13.8,34.0,47.2,0.0,1.0
Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler,2.0,3.0,1.0,0.0,0.0,0.0,11.0,inf,66.7,0.0,3.0,3.0,7.456666666666667,57.0,1.0,57.0,71.0,71.0,26.0,45.6,0.0,3.0
Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder,42.0,36.0,2.0,2.0,4.0,1.0,7.0,21.0,116.7,52.4,18.0,3.0,4.67,62.0,5.0,12.4,49.0,9.8,27.0,43.5,0.0,18.0
Odean Smith,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,25.0,22.0,3.0,1.0,1.0,2.0,9.0,25.0,113.6,64.0,7.0,3.0,9.86,54.0,2.0,27.0,85.0,42.5,18.0,33.3,0.0,7.3
